Line Segment Data	2569 items	kilometer
M1089143	M1089144	0.025711999	1PH-2_ACSRXX2_ACSR-A
M1026343	L2748135	0.053070268	1PH-2_ACSRXX2_ACSR-A
M1027121	M1027123	0.031125108	1PH-2_ACSRXX2_ACSR-A
L3728037	M3949154	0.10368766	1PH-2_ACSRXX2_ACSR-A
P901941	L3251799	0.049058221	1PH-2_ACSRXX2_ACSR-A
M1026335	L2804259	0.069885457	1PH-2_ACSRXX2_ACSR-A
M1027114	L3195327	0.07315169	1PH-2_ACSRXX2_ACSR-A
P827574	L3160123	0.060930059	1PH-2_ACSRXX2_ACSR-A
M1089141	P895105	0.006902355	1PH-2_ACSRXX2_ACSR-A
P901934	N1140517	0.014306578	1PH-2_ACSRXX2_ACSR-A
M1069466	N1139264	0.025692909	1PH-2_ACSRXX2_ACSR-A
M1069411	L2991905	0.056339822	1PH-2_ACSRXX2_ACSR-A
M1047432	M1047433	0.045839121	1PH-2_ACSRXX2_ACSR-A
M1047326	M1047322	0.038961022	1PH-2_ACSRXX2_ACSR-A
M1027087	L2726983	0.090525648	1PH-2_ACSRXX2_ACSR-A
M1166368	L3086098	0.049405385	1PH-2_ACSRXX2_ACSR-A
M1209782	L3217056	0.073676999	1PH-2_ACSRXX2_ACSR-A
L3082993	M3016088	0.06095952	1PH-2_ACSRXX2_ACSR-A
M1010015	M1010014	0.081381125	1PH-2_ACSRXX2_ACSR-A
M1027055	N1147865	0.016775133	1PH-2_ACSRXX2_ACSR-A
L2916627	L2673310	0.077679716	1PH-2_ACSRXX2_ACSR-A
M1108499	M1108507	0.062179355	1PH-2_ACSRXX2_ACSR-A
M1009698	L3156034	0.050485522	1PH-2_ACSRXX2_ACSR-A
M1047744	L3178971	0.000842188	1PH-2_ACSRXX2_ACSR-A
L3728040	L3728041	0.038090403	1PH-2_ACSRXX2_ACSR-A
N1147865	L2895489	0.12057335	1PH-2_ACSRXX2_ACSR-A
N1142098	L2936212	0.051832716	1PH-2_ACSRXX2_ACSR-A
M3949154	L3728038	0.00378653	1PH-2_ACSRXX2_ACSR-A
M1047490	P1164481	0.036413422	1PH-2_ACSRXX2_ACSR-A
M1125904	M1125903	0.019058849	1PH-2_ACSRXX2_ACSR-A
M1047420	M1047419	0.01261364	1PH-2_ACSRXX2_ACSR-A
M1126017	L2748781	0.04596056	1PH-2_ACSRXX2_ACSR-A
M1047338	L2691953	0.15113092	1PH-2_ACSRXX2_ACSR-A
L3197647	M1026778	0.001620751	1PH-2_ACSRXX2_ACSR-A
M1027123	L3008248	0.024903039	1PH-2_ACSRXX2_ACSR-A
L3727708	M3949157	0.005075374	1PH-2_ACSRXX2_ACSR-A
L3254230	M1047711	0.094655544	1PH-2_ACSRXX2_ACSR-A
L3104121	L3104113	0.032918722	1PH-2_ACSRXX2_ACSR-A
L3195327	L3139103	0.068918831	1PH-2_ACSRXX2_ACSR-A
M1026810	L2914324	0.13552301	1PH-2_ACSRXX2_ACSR-A
M1047419	L2973157	0.047994036	1PH-2_ACSRXX2_ACSR-A
M1026734	L3065696	0.067089596	1PH-2_ACSRXX2_ACSR-A
M1047711	M1047718	0.08699875	1PH-2_ACSRXX2_ACSR-A
N1139255	P827500	0.003749228	1PH-2_ACSRXX2_ACSR-A
M1126023	M1126017	0.076784686	1PH-2_ACSRXX2_ACSR-A
M1026812	L3122847	0.086798183	1PH-2_ACSRXX2_ACSR-A
L3728039	L3728040	0.060347674	1PH-2_ACSRXX2_ACSR-A
L3197638	M1026849	0.06122653	1PH-2_ACSRXX2_ACSR-A
M1069504	L3197654	0.045352284	1PH-2_ACSRXX2_ACSR-A
M1047401	M1047403	0.044195202	1PH-2_ACSRXX2_ACSR-A
N1140524	L3197641	0.11755461	1PH-2_ACSRXX2_ACSR-A
M1026364	L3010570	0.059756623	1PH-2_ACSRXX2_ACSR-A
N1136360	L2729424	0.044733107	1PH-2_ACSRXX2_ACSR-A
M1026880	M1026874	0.073473227	1PH-2_ACSRXX2_ACSR-A
M1047672	N1136999	0.016026796	1PH-2_ACSRXX2_ACSR-A
M1142815	L2917359	0.018158096	1PH-2_ACSRXX2_ACSR-A
N1147864	L2710536	0.068668503	1PH-2_ACSRXX2_ACSR-A
N1136361	L3160114	0.049894414	1PH-2_ACSRXX2_ACSR-A
M1026848	M1026847	0.067929357	1PH-2_ACSRXX2_ACSR-A
M3037538	L3027133	0.002523134	1PH-2_ACSRXX2_ACSR-A
M1010008	M1010007	0.002275626	1PH-2_ACSRXX2_ACSR-A
M1026847	L2673311	0.060760338	1PH-2_ACSRXX2_ACSR-A
M1069187	L2748129	0.086479864	1PH-2_ACSRXX2_ACSR-A
L3066821	M1009691	0.063480945	1PH-2_ACSRXX2_ACSR-A
M1108490	P829798	0.009192607	1PH-2_ACSRXX2_ACSR-A
M1108489	N1142101	0.014420363	1PH-2_ACSRXX2_ACSR-A
M1026655	N1141474	0.004997949	1PH-2_ACSRXX2_ACSR-A
N1145955	M1026335	0.013633755	1PH-2_ACSRXX2_ACSR-A
M1069469	M1069467	0.021347852	1PH-2_ACSRXX2_ACSR-A
M1010017	M1010016	0.18080668	1PH-2_ACSRXX2_ACSR-A
L3729297	L3729298	0.062588996	1PH-2_ACSRXX2_ACSR-A
M1069424	N1139255	0.010667139	1PH-2_ACSRXX2_ACSR-A
M1026820	M1026823	0.089772241	1PH-2_ACSRXX2_ACSR-A
M1047699	P859135	0.007143234	1PH-2_ACSRXX2_ACSR-A
M1027121	N1134469	0.00874622	1PH-2_ACSRXX2_ACSR-A
L3649298	L3649299	0.064643201	1PH-2_ACSRXX2_ACSR-A
M1026713	L2785530	0.054647483	1PH-2_ACSRXX2_ACSR-A
P895080	L2917333	0.083779964	1PH-2_ACSRXX2_ACSR-A
L3160123	L2897805	0.091770101	1PH-2_ACSRXX2_ACSR-A
L3729298	L3727707	0.059586382	1PH-2_ACSRXX2_ACSR-A
M1047403	M1047404	0.068580341	1PH-2_ACSRXX2_ACSR-A
M3037441	N1140824	0.032437566	1PH-2_ACSRXX2_ACSR-A
M1026960	M3729981	0.025908036	1PH-2_ACSRXX2_ACSR-A
L3141403	M3037538	0.059667313	1PH-2_ACSRXX2_ACSR-A
M1026646	N1139549	0.051832453	1PH-2_ACSRXX2_ACSR-A
P827500	L2822861	0.098197127	1PH-2_ACSRXX2_ACSR-A
L2970811	M1027121	0.060110408	1PH-2_ACSRXX2_ACSR-A
M1026866	N1147862	0.011218487	1PH-2_ACSRXX2_ACSR-A
M1047750	M1047744	0.084309897	1PH-2_ACSRXX2_ACSR-A
L3197652	L2748143	0.030526675	1PH-2_ACSRXX2_ACSR-A
M1069563	N1136360	0.038804359	1PH-2_ACSRXX2_ACSR-A
M3037538	L2857591	0.072298511	1PH-2_ACSRXX2_ACSR-A
L3649300	L3649301	0.061174579	1PH-2_ACSRXX2_ACSR-A
M1047733	L3066804	0.10375985	1PH-2_ACSRXX2_ACSR-A
M1026783	N1140524	0.029322117	1PH-2_ACSRXX2_ACSR-A
P829986	M1125904	0.021460849	1PH-2_ACSRXX2_ACSR-A
P895105	N1142110	0.009885674	1PH-2_ACSRXX2_ACSR-A
M1027092	L2689727	0.075468321	1PH-2_ACSRXX2_ACSR-A
L3649302	L3649304	0.062760591	1PH-2_ACSRXX2_ACSR-A
L3197641	L2973161	0.13037989	1PH-2_ACSRXX2_ACSR-A
L3649297	L3649298	0.063653649	1PH-2_ACSRXX2_ACSR-A
P1123251	N1140528	0.006319512	1PH-2_ACSRXX2_ACSR-A
M1125902	P829986	0.009513823	1PH-2_ACSRXX2_ACSR-A
M3016088	L3312692	0.046634456	1PH-2_ACSRXX2_ACSR-A
L3728042	L3728043	0.066118663	1PH-2_ACSRXX2_ACSR-A
L2876812	L2970811	0.071312594	1PH-2_ACSRXX2_ACSR-A
M1108483	M1108486	0.031762493	1PH-2_ACSRXX2_ACSR-A
M1026713	L2860504	0.013296693	1PH-2_ACSRXX2_ACSR-A
L2692660	L2955076	0.14862445	1PH-2_ACSRXX2_ACSR-A
M1026667	M1026661	0.055290612	1PH-2_ACSRXX2_ACSR-A
M1089138	L2841628	0.098548452	1PH-2_ACSRXX2_ACSR-A
M1069564	N1136361	0.021452442	1PH-2_ACSRXX2_ACSR-A
M1125929	L2842379	0.1610873	1PH-2_ACSRXX2_ACSR-A
L2822861	L2841616	0.20625126	1PH-2_ACSRXX2_ACSR-A
M1108486	L3067447	0.014115329	1PH-2_ACSRXX2_ACSR-A
M1047721	M1047723	0.095347559	1PH-2_ACSRXX2_ACSR-A
M3729981	L3632979	0.033527886	1PH-2_ACSRXX2_ACSR-A
M1010014	M1010013	0.012836193	1PH-2_ACSRXX2_ACSR-A
L2841648	L2710544	0.091646063	1PH-2_ACSRXX2_ACSR-A
M1047435	L2970841	0.046062515	1PH-2_ACSRXX2_ACSR-A
M1126016	L3195321	0.066765978	1PH-2_ACSRXX2_ACSR-A
M1108507	L3108449	0.062179013	1PH-2_ACSRXX2_ACSR-A
L2879074	L3122820	0.074057003	1PH-2_ACSRXX2_ACSR-A
M1047718	M1047721	0.05445726	1PH-2_ACSRXX2_ACSR-A
M1069461	P827574	0.008686967	1PH-2_ACSRXX2_ACSR-A
M1069564	L3104144	0.038391421	1PH-2_ACSRXX2_ACSR-A
N1142111	L2991912	0.052282396	1PH-2_ACSRXX2_ACSR-A
N1137001	L2929261	0.049633591	1PH-2_ACSRXX2_ACSR-A
M1166375	P895080	0.009761558	1PH-2_ACSRXX2_ACSR-A
P827522	N1142111	0.010461249	1PH-2_ACSRXX2_ACSR-A
M1026896	P860847	0.031261513	1PH-2_ACSRXX2_ACSR-A
M1125903	L2989565	0.015540697	1PH-2_ACSRXX2_ACSR-A
L3156034	L3066821	0.059469032	1PH-2_ACSRXX2_ACSR-A
L2673310	L3104121	0.078662206	1PH-2_ACSRXX2_ACSR-A
N1140517	L3157718	0.10124937	1PH-2_ACSRXX2_ACSR-A
M1126020	M1126023	0.028731708	1PH-2_ACSRXX2_ACSR-A
M1047723	M1047729	0.092411577	1PH-2_ACSRXX2_ACSR-A
N1145956	L2729412	0.039229122	1PH-2_ACSRXX2_ACSR-A
M3949157	L3728037	0.10539245	1PH-2_ACSRXX2_ACSR-A
M1047404	L3091052	0.062178789	1PH-2_ACSRXX2_ACSR-A
M1010007	M1010004	0.15986564	1PH-2_ACSRXX2_ACSR-A
L2785546	M1026810	0.11908408	1PH-2_ACSRXX2_ACSR-A
N1141474	L2710518	0.023696975	1PH-2_ACSRXX2_ACSR-A
M1026764	L3178976	0.091515838	1PH-2_ACSRXX2_ACSR-A
L3029500	M1026764	0.09124424	1PH-2_ACSRXX2_ACSR-A
L3727711	L3727712	0.042562748	1PH-2_ACSRXX2_ACSR-A
M1026792	L2895461	0.054747227	1PH-2_ACSRXX2_ACSR-A
M1026773	M1026777	0.030857527	1PH-2_ACSRXX2_ACSR-A
M1026329	L3104135	0.091200454	1PH-2_ACSRXX2_ACSR-A
N1140528	L3649297	0.049260145	1PH-2_ACSRXX2_ACSR-A
P827560	N1147866	0.013831277	1PH-2_ACSRXX2_ACSR-A
L2710511	L2766719	0.067282003	1PH-2_ACSRXX2_ACSR-A
L3122825	L2991920	0.060866144	1PH-2_ACSRXX2_ACSR-A
M1026820	L3141403	0.059232545	1PH-2_ACSRXX2_ACSR-A
P829798	M1108489	0.000259836	1PH-2_ACSRXX2_ACSR-A
M1069181	L2804253	0.018383208	1PH-2_ACSRXX2_ACSR-A
L2973150	M1047733	0.09475832	1PH-2_ACSRXX2_ACSR-A
M1142860	P895114	0.006584149	1PH-2_ACSRXX4/0_TPX-A
M1142865	P895112	0.008729843	1PH-2_ACSRXX4_ACSR-A
P895112	L3048962	0.025604159	1PH-2_ACSRXX4_ACSR-A
M1047486	L3177665	0.018287602	1PH-2_ACSRXX4_ACSR-A
P829961	N1141476	0.009890282	1PH-2_ACSRXX4_WPAL-A
M1125919	P829961	0.010447145	1PH-2_ACSRXX4_WPAL-A
L2692654	M1125929	0.002372008	1PH-2_ACSRXX4_WPAL-A
N1141476	L2692654	0.076383587	1PH-2_ACSRXX4_WPAL-A
M1009726	L3101789	0.039114934	1PH-2_WPALXX2_WPAL-A
M1209791	P903354	0.003369601	1PH-4_ACSRXX1/0_3W_CS-A
P903354	L2936270	0.044881692	1PH-4_ACSRXX1/0_3W_CS-A
M1069390	L2841618	0.046117674	1PH-4_ACSRXX1/0_TPX-A
M1069187	L2785519	0.054070427	1PH-4_ACSRXX1/0_TPX-A
M1026942	L3141389	0.004249663	1PH-4_ACSRXX1/0_TPX-A
M1026941	M1026942	0.021508714	1PH-4_ACSRXX1/0_TPX-A
M1089148	L2766721	0.048405189	1PH-4_ACSRXX1/0_TPX-A
M1026851	P827536	0.006724963	1PH-4_ACSRXX2_ACSR-A
L3216358	M1026826	0.04577771	1PH-4_ACSRXX2_ACSR-A
L2876813	L2785531	0.079899044	1PH-4_ACSRXX2_ACSR-A
L2914324	M1026805	0.10724059	1PH-4_ACSRXX2_ACSR-A
P827536	N1137999	0.012536863	1PH-4_ACSRXX2_ACSR-A
M1026826	L2952013	0.083593427	1PH-4_ACSRXX2_ACSR-A
N1137999	L2876813	0.080698075	1PH-4_ACSRXX2_ACSR-A
L2785531	L3216358	0.091437278	1PH-4_ACSRXX2_ACSR-A
M1126025	L2823545	0.055606902	1PH-4_ACSRXX2_ACSR-A
M1142843	L2692660	0.079368901	1PH-4_ACSRXX4_ACSR-A
N1142109	L2729429	0.069986312	1PH-4_ACSRXX4_ACSR-A
L3086078	M4118755	0.073762917	1PH-4_ACSRXX4_ACSR-A
L2691944	L2673312	0.090648368	1PH-4_ACSRXX4_ACSR-A
M1142843	P829976	0.009886108	1PH-4_ACSRXX4_ACSR-A
M1026665	M1026660	0.085001339	1PH-4_ACSRXX4_ACSR-A
L2954348	L2841615	0.07797205	1PH-4_ACSRXX4_ACSR-A
L2710519	M1047344	0.049662185	1PH-4_ACSRXX4_ACSR-A
L3178978	M1047432	0.16616063	1PH-4_ACSRXX4_ACSR-A
N1136032	M1089204	0.09311689	1PH-4_ACSRXX4_ACSR-A
L3195315	M1069181	0.084172665	1PH-4_ACSRXX4_ACSR-A
L2691936	M1026941	0.073170138	1PH-4_ACSRXX4_ACSR-A
N1136362	L3197652	0.027383136	1PH-4_ACSRXX4_ACSR-A
L3104122	L2804283	0.08831218	1PH-4_ACSRXX4_ACSR-A
L2991912	L3104128	0.11239746	1PH-4_ACSRXX4_ACSR-A
M1047722	N1137985	0.009628465	1PH-4_ACSRXX4_ACSR-A
M1026662	N1141473	0.013927592	1PH-4_ACSRXX4_ACSR-A
P827515	L2991909	0.06557985	1PH-4_ACSRXX4_ACSR-A
L2991907	M1069192	0.057187411	1PH-4_ACSRXX4_ACSR-A
P827537	L3122827	0.069727967	1PH-4_ACSRXX4_ACSR-A
M1026798	L2952014	0.024539668	1PH-4_ACSRXX4_ACSR-A
M1047358	L3197644	0.020532809	1PH-4_ACSRXX4_ACSR-A
L2879069	L3197633	0.12224151	1PH-4_ACSRXX4_ACSR-A
M1166356	L2730187	0.050948959	1PH-4_ACSRXX4_ACSR-A
L2804262	L2841639	0.074677313	1PH-4_ACSRXX4_ACSR-A
L2748132	L2689726	0.25628309	1PH-4_ACSRXX4_ACSR-A
M1089131	L3270854	0.050498276	1PH-4_ACSRXX4_ACSR-A
M1027100	M1027109	0.17026929	1PH-4_ACSRXX4_ACSR-A
M1026660	M1026657	0.099363288	1PH-4_ACSRXX4_ACSR-A
M1108492	N1142102	0.007313548	1PH-4_ACSRXX4_ACSR-A
N1138594	M1026679	0.14031407	1PH-4_ACSRXX4_ACSR-A
L3122827	L2954355	0.05850549	1PH-4_ACSRXX4_ACSR-A
M1026854	P901894	0.005924616	1PH-4_ACSRXX4_ACSR-A
M1069130	M1069133	0.019367761	1PH-4_ACSRXX4_ACSR-A
M1047335	L2710519	0.085331485	1PH-4_ACSRXX4_ACSR-A
M3036169	N1139550	0.023388828	1PH-4_ACSRXX4_ACSR-A
M1166355	L2858200	0.11201214	1PH-4_ACSRXX4_ACSR-A
N1138593	L2804262	0.041058893	1PH-4_ACSRXX4_ACSR-A
L2821010	M1026773	0.10899541	1PH-4_ACSRXX4_ACSR-A
M1026942	L3270814	0.030480279	1PH-4_ACSRXX4_ACSR-A
P895087	M1089205	0.008276029	1PH-4_ACSRXX4_ACSR-A
M1166355	L2805035	0.065261737	1PH-4_ACSRXX4_ACSR-A
M1026648	M1026647	0.052222014	1PH-4_ACSRXX4_ACSR-A
M1027080	L3215340	0.066148484	1PH-4_ACSRXX4_ACSR-A
M1069384	L2785514	0.077052786	1PH-4_ACSRXX4_ACSR-A
L3254207	M1069390	0.070889737	1PH-4_ACSRXX4_ACSR-A
L2973151	M1069187	0.07676317	1PH-4_ACSRXX4_ACSR-A
L2804254	M1047752	0.013302738	1PH-4_ACSRXX4_ACSR-A
N1141473	L3216350	0.041248108	1PH-4_ACSRXX4_ACSR-A
M1026931	L3216336	0.049186375	1PH-4_ACSRXX4_ACSR-A
L3008279	L2785537	0.092672754	1PH-4_ACSRXX4_ACSR-A
M1126016	L3120534	0.035538915	1PH-4_ACSRXX4_ACSR-A
L2935559	L3048214	0.037869504	1PH-4_ACSRXX4_ACSR-A
L3101787	L3027132	0.038897488	1PH-4_ACSRXX4_ACSR-A
M1047752	M1047750	0.071349619	1PH-4_ACSRXX4_ACSR-A
L2897772	L3101814	0.056445275	1PH-4_ACSRXX4_ACSR-A
E182722	N1138596	0.013356534	1PH-4_ACSRXX4_ACSR-A
N1139540	L2991907	0.083633768	1PH-4_ACSRXX4_ACSR-A
M1089204	L3157167	0.053774065	1PH-4_ACSRXX4_ACSR-A
M1069469	N1139263	0.008271348	1PH-4_ACSRXX4_ACSR-A
M1089143	L3141400	0.095157861	1PH-4_ACSRXX4_ACSR-A
M1166356	L3104856	0.081299708	1PH-4_ACSRXX4_ACSR-A
L2917330	L2861222	0.089533931	1PH-4_ACSRXX4_ACSR-A
M1069457	E182745	0.010942281	1PH-4_ACSRXX4_ACSR-A
L2785514	L3235244	0.065348622	1PH-4_ACSRXX4_ACSR-A
M1089205	N1134472	0.014446564	1PH-4_ACSRXX4_ACSR-A
L2764412	N1134470	0.14392908	1PH-4_ACSRXX4_ACSR-A
M1069398	L2785513	0.066775835	1PH-4_ACSRXX4_ACSR-A
M1047409	L2841648	0.12755805	1PH-4_ACSRXX4_ACSR-A
M1149236	P829974	0.004284117	1PH-4_ACSRXX4_ACSR-A
P901933	M1069563	0.008250671	1PH-4_ACSRXX4_ACSR-A
L3082992	M1047406	0.059596513	1PH-4_ACSRXX4_ACSR-A
L3083019	M1027080	0.028722057	1PH-4_ACSRXX4_ACSR-A
M1047410	M1047409	0.093535947	1PH-4_ACSRXX4_ACSR-A
L2764403	M1047623	0.058860674	1PH-4_ACSRXX4_ACSR-A
M1047316	L2785527	0.066636895	1PH-4_ACSRXX4_ACSR-A
M1047311	L2748158	0.010516568	1PH-4_ACSRXX4_ACSR-A
M1047763	N1136027	0.01814072	1PH-4_ACSRXX4_ACSR-A
N1138596	L3254207	0.024491351	1PH-4_ACSRXX4_ACSR-A
N1134470	L3251808	0.090043408	1PH-4_ACSRXX4_ACSR-A
M1026646	L3178978	0.1966651	1PH-4_ACSRXX4_ACSR-A
L3251808	M1027100	0.05947339	1PH-4_ACSRXX4_ACSR-A
L3065665	L3235946	0.10854935	1PH-4_ACSRXX4_ACSR-A
M1026857	M1026859	0.008540055	1PH-4_ACSRXX4_ACSR-A
E182730	N1142109	0.024024243	1PH-4_ACSRXX4_ACSR-A
M1069130	L3085396	0.078786151	1PH-4_ACSRXX4_ACSR-A
P829974	L2805034	0.066163666	1PH-4_ACSRXX4_ACSR-A
M1026925	L2916599	0.015576555	1PH-4_ACSRXX4_ACSR-A
L3101788	L3101787	0.054862146	1PH-4_ACSRXX4_ACSR-A
M1047344	L3066819	0.056343546	1PH-4_ACSRXX4_ACSR-A
M1026387	L3104132	0.070866982	1PH-4_ACSRXX4_ACSR-A
M1089203	P895087	0.006368406	1PH-4_ACSRXX4_ACSR-A
M1026769	D6140776-1_INT	0.00691128	1PH-4_ACSRXX4_ACSR-A
M1069563	N1136362	0.019087026	1PH-4_ACSRXX4_ACSR-A
L3120534	M1126020	0.10403976	1PH-4_ACSRXX4_ACSR-A
M1026393	L2935559	0.064714736	1PH-4_ACSRXX4_ACSR-A
L3235244	M1069398	0.062895843	1PH-4_ACSRXX4_ACSR-A
L3254216	M1047401	0.033524083	1PH-4_ACSRXX4_ACSR-A
L3157167	L2785511	0.12540534	1PH-4_ACSRXX4_ACSR-A
L2954355	M1026665	0.02380942	1PH-4_ACSRXX4_ACSR-A
L2673315	M1089148	0.12446665	1PH-4_ACSRXX4_ACSR-A
M1009691	L2748140	0.030001135	1PH-4_ACSRXX4_ACSR-A
L2710517	M1026646	0.048809326	1PH-4_ACSRXX4_ACSR-A
P827498	N1136032	0.032107216	1PH-4_ACSRXX4_ACSR-A
L2879794	M1142811	0.033755992	1PH-4_ACSRXX4_ACSR-A
N1142105	L3027122	0.011577334	1PH-4_ACSRXX4_ACSR-A
M1047430	L2916234	0.16679443	1PH-4_ACSRXX4_ACSR-A
L2691973	M1026890	0.034047368	1PH-4_ACSRXX4_ACSR-A
N1134471	L2839331	0.074266477	1PH-4_ACSRXX4_ACSR-A
M1047314	M1047311	0.022318059	1PH-4_ACSRXX4_ACSR-A
L2823544	M1126016	0.030918737	1PH-4_ACSRXX4_ACSR-A
M4118755	M1209782	0.044131223	1PH-4_ACSRXX4_ACSR-A
L3216336	L2691936	0.066949476	1PH-4_ACSRXX4_ACSR-A
L3216351	L2879081	0.031697757	1PH-4_ACSRXX4_ACSR-A
M1027109	M1027114	0.062586657	1PH-4_ACSRXX4_ACSR-A
L2766723	L3122822	0.057158143	1PH-4_ACSRXX4_ACSR-A
M1069192	M1069191	0.055093178	1PH-4_ACSRXX4_ACSR-A
L2916234	M1047423	0.25920148	1PH-4_ACSRXX4_ACSR-A
P829976	L2955078	0.054801402	1PH-4_ACSRXX4_ACSR-A
L3010585	M1026798	0.058013557	1PH-4_ACSRXX4_ACSR-A
M1126005	L2767342	0.069643694	1PH-4_ACSRXX4_ACSR-A
M1047751	L2973154	0.00930772	1PH-4_ACSRXX4_ACSR-A
M1026792	L2821010	0.17284247	1PH-4_ACSRXX4_ACSR-A
L2936270	L3086078	0.060598568	1PH-4_ACSRXX4_ACSR-A
L3197631	L2748127	0.05289485	1PH-4_ACSRXX4_ACSR-A
M1069181	L2973151	0.075432644	1PH-4_ACSRXX4_ACSR-A
N1139550	L3197639	0.024283034	1PH-4_ACSRXX4_ACSR-A
M1047755	M1047751	0.073262993	1PH-4_ACSRXX4_ACSR-A
M1069468	P827506	0.008514154	1PH-4_ACSRXX4_ACSR-A
M1108506	M1108501	0.078921909	1PH-4_ACSRXX4_ACSR-A
P903360	M1047430	0.009713504	1PH-4_ACSRXX4_ACSR-A
N1140518	L2764403	0.040199306	1PH-4_ACSRXX4_ACSR-A
M1027080	N1134471	0.022304803	1PH-4_ACSRXX4_ACSR-A
M1047345	M1047340	0.087054844	1PH-4_ACSRXX4_ACSR-A
M1089197	P827498	0.012051077	1PH-4_ACSRXX4_ACSR-A
L3215340	M1027087	0.03473258	1PH-4_ACSRXX4_ACSR-A
M1047420	L2820556	0.1336502	1PH-4_ACSRXX4_ACSR-A
M1069192	L2991913	0.092516396	1PH-4_ACSRXX4_ACSR-A
N1142102	L2804956	0.052531355	1PH-4_ACSRXX4_ACSR-A
M1166362	M1166355	0.10330088	1PH-4_ACSRXX4_ACSR-A
L2729428	M1026648	0.073717323	1PH-4_ACSRXX4_ACSR-A
M1026926	N1138000	0.005806735	1PH-4_ACSRXX4_ACSR-A
M1069390	L2897801	0.043697257	1PH-4_ACSRXX4_ACSR-A
M1047409	L3082992	0.066131547	1PH-4_ACSRXX4_ACSR-A
M1047432	P903360	0.10402051	1PH-4_ACSRXX4_ACSR-A
M1069398	L3010559	0.10348042	1PH-4_ACSRXX4_ACSR-A
M1069181	L2748146	0.099231539	1PH-4_ACSRXX4_ACSR-A
M1069500	P827549	0.00457253	1PH-4_ACSRXX4_ACSR-A
N1137003	L2935555	0.006533596	1PH-4_ACSRXX4_ACSR-A
M1047358	L2729411	0.096738274	1PH-4_ACSRXX4_ACSR-A
N1137995	L3141401	0.02560001	1PH-4_ACSRXX4_ACSR-A
M1027109	L3101788	0.066984984	1PH-4_ACSRXX4_ACSR-A
M1026366	L3122824	0.062543815	1PH-4_ACSRXX4_ACSR-A
M1142815	N1141477	0.024196531	1PH-4_ACSRXX4_ACSR-A
N1136027	L2876796	0.065085962	1PH-4_ACSRXX4_ACSR-A
L2973154	L2879069	0.064089636	1PH-4_ACSRXX4_ACSR-A
L2785527	L2766729	0.072310835	1PH-4_ACSRXX4_ACSR-A
L2689726	M1047400	0.13609058	1PH-4_ACSRXX4_ACSR-A
M1026660	L3160106	0.33982215	1PH-4_ACSRXX4_ACSR-A
M1047623	L2748157	0.063261426	1PH-4_ACSRXX4_ACSR-A
M1069169	P827508	0.011234484	1PH-4_ACSRXX4_ACSR-A
P827502	N1137993	0.023309532	1PH-4_ACSRXX4_ACSR-A
M1069382	D6049822-1_INT	0.011266497	1PH-4_ACSRXX4_ACSR-A
M1108505	P901946	0.003680698	1PH-4_ACSRXX4_ACSR-A
L2989600	M1166362	0.099401933	1PH-4_ACSRXX4_ACSR-A
M1047344	L3029499	0.075276447	1PH-4_ACSRXX4_ACSR-A
M1047423	M1047420	0.050465223	1PH-4_ACSRXX4_ACSR-A
L2876796	M1047756	0.051059122	1PH-4_ACSRXX4_ACSR-A
M1026366	L2860489	0.059910362	1PH-4_ACSRXX4_ACSR-A
L2935555	L2897773	0.05025728	1PH-4_ACSRXX4_ACSR-A
M1166362	L2898522	0.068951669	1PH-4_ACSRXX4_ACSR-A
M1026941	L3197618	0.11661058	1PH-4_ACSRXX4_ACSR-A
M1047756	M1047755	0.005596801	1PH-4_ACSRXX4_ACSR-A
L2820556	M1047410	0.039489352	1PH-4_ACSRXX4_ACSR-A
M1047401	L2748132	0.056056234	1PH-4_ACSRXX4_ACSR-A
M1026805	L3010585	0.084180184	1PH-4_ACSRXX4_ACSR-A
M1027056	N1144667	0.031755492	1PH-4_ACSRXX4_ACSR-A
M1069564	P901933	0.006538999	1PH-4_ACSRXX4_ACSR-A
M1089148	L2991906	0.15747018	1PH-4_ACSRXX4_ACSR-A
M1026647	M3036169	0.10525506	1PH-4_ACSRXX4_ACSR-A
M1142811	L2917330	0.079592542	1PH-4_ACSRXX4_ACSR-A
L3235946	M1126005	0.17481539	1PH-4_ACSRXX4_ACSR-A
M1026890	L2954357	0.051374598	1PH-4_ACSRXX4_ACSR-A
L3235249	L2954348	0.093665581	1PH-4_ACSRXX4_ACSR-A
L2785519	L3104122	0.032639672	1PH-4_ACSRXX4_ACSR-A
L2991906	L2879054	0.06432977	1PH-4_ACSRXX4_ACSR-A
M1047344	L2897772	0.071009138	1PH-4_ACSRXX4_ACSR-A
N1147857	M1009742	0.054752983	1PH-4_ACSRXX4_ACSR-A
N1134472	L2973148	0.19260083	1PH-4_ACSRXX4_ACSR-A
L2748780	L2823544	0.069216572	1PH-4_ACSRXX4_ACSR-A
L2860482	L3254204	0.61717575	1PH-4_ACSRXX4_ACSR-A
M1027091	L2764412	0.039522749	1PH-4_ACSRXX4_ACSR-A
L3027122	M1108506	0.007197514	1PH-4_ACSRXX4_ACSR-A
L2841615	M1026931	0.040345742	1PH-4_ACSRXX4_ACSR-A
P901946	N1142105	0.003539661	1PH-4_ACSRXX4_ACSR-A
M1108499	L3065665	0.036242762	1PH-4_ACSRXX4_ACSR-A
